,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
0,100,2,2,3,cuda,numba,0,0.0018830299377441406,0.0014617443084716797,3.2901763916015625e-05,0.0001857919991016388,1,0.0,0.00018579199910163881,0.00018579199910163881,0.00029020799696445463,3,5.4697218004671359e-06,0.0001013759970664978,8.9056000113487245e-05,6.163199990987778e-05,3,1.7133183339645178e-07,2.0767999812960626e-05,2.0352000370621683e-05,8.044799976050854e-05,3,4.7964481677460927e-07,2.7488000690937042e-05,2.6399999856948852e-05,0.0003501119986176491,3,5.1312529148524722e-06,0.00012390399724245072,0.00011231999844312667
1,100,2,2,3,cuda,numba,1,0.0016770362854003906,0.0014681816101074219,3.600120544433594e-05,0.00019392000138759613,1,0.0,0.00019392000138759613,0.00019392000138759613,0.0002901119962334633,3,5.6859844526076515e-06,0.00010140799731016159,8.8703997433185573e-05,6.163200177252292e-05,3,3.1678392953461598e-07,2.0896000787615776e-05,2.0128000527620317e-05,8.028800040483474e-05,3,1.6999920810815856e-07,2.6976000517606734e-05,2.6559999212622641e-05,0.00035007999837398526,3,3.7433463647285121e-06,0.00012044800072908401,0.00011158400028944015
2,100,2,2,3,cuda,numba,2,0.001680135726928711,0.0014827251434326172,3.3855438232421875e-05,0.0001966080069541931,1,0.0,0.00019660800695419311,0.00019660800695419311,0.00029331199824810027,3,5.7775947329557635e-06,0.0001018880009651184,8.9599996805191036e-05,6.579199992120266e-05,3,2.0840709934350732e-06,2.4703999981284142e-05,1.9680000841617586e-05,8.169599995017051e-05,3,7.6309511656915491e-07,2.8095999732613562e-05,2.6240000501275063e-05,0.00036246400326490403,3,1.3224286027196063e-05,0.00013952000439167023,0.00011116799712181092
3,100,2,4,3,cuda,numba,0,0.0016820430755615234,0.0014748573303222656,3.2901763916015625e-05,0.00018838399648666383,1,0.0,0.00018838399648666383,0.00018838399648666383,0.00029772800207138064,3,6.8356437165863493e-06,0.00010684800148010254,9.0272001922130578e-05,3.871999960392714e-05,3,3.5473667054631058e-07,1.3407999649643898e-05,1.2640000320971012e-05,8.019200153648853e-05,3,3.7712385406007145e-07,2.7264000847935676e-05,2.6464000344276429e-05,0.0003641920015215874,3,2.1444512754707741e-06,0.00012435200065374373,0.00011932799965143204
4,100,2,4,3,cuda,numba,1,0.0016679763793945312,0.001461029052734375,4.315376281738281e-05,0.00018799999356269837,1,0.0,0.00018799999356269837,0.00018799999356269837,0.00029132800549268724,3,5.5148006272091256e-06,0.00010115200281143188,8.9312002062797552e-05,4.377599898725748e-05,3,1.0283242662332029e-06,1.548799965530634e-05,1.3151999562978745e-05,7.9135999083519e-05,3,1.2093384374656737e-06,2.7327999472618103e-05,2.4671999737620354e-05,0.0003676159977912903,3,3.2006769211163537e-06,0.00012495999783277513,0.00011801599711179733
5,100,2,4,3,cuda,numba,2,0.0018470287322998047,0.0016508102416992188,3.409385681152344e-05,0.0002163199931383133,1,0.0,0.00021631999313831329,0.00021631999313831329,0.0003001280054450035,3,7.3155449233459512e-06,0.00010793600231409072,9.0304002165794367e-05,4.544000048190356e-05,3,2.7937688906742175e-07,1.5519999898970129e-05,1.484800036996603e-05,7.993599958717823e-05,3,5.5199376660459371e-07,2.7424000203609465e-05,2.6208000257611275e-05,0.0003872639983892441,3,1.3541279456012137e-05,0.00014822399616241455,0.00011888000369071961
6,100,2,8,3,cuda,numba,0,0.0017230510711669922,0.0015118122100830078,4.291534423828125e-05,0.00018668800592422485,1,0.0,0.00018668800592422485,0.00018668800592422485,0.0002930239960551262,3,5.4385140976738591e-06,0.00010159999877214432,8.9983999729156497e-05,4.553599935024977e-05,3,2.1912139373541406e-07,1.548799965530634e-05,1.5007999725639821e-05,8.652799762785436e-05,3,2.29276203501206e-06,3.2063998281955717e-05,2.691200003027916e-05,0.0004120320081710816,3,5.531527737845568e-06,0.00014515200257301332,0.00013302400708198548
7,100,2,8,3,cuda,numba,1,0.0017080307006835938,0.0015022754669189453,3.2901763916015625e-05,0.00018665599822998048,1,0.0,0.00018665599822998048,0.00018665599822998048,0.00029516799747943877,3,7.2252179726255731e-06,0.00010598400235176087,8.8671997189521785e-05,4.547199979424476e-05,3,1.4390098475904121e-07,1.5359999611973762e-05,1.5039999969303607e-05,8.06719996035099e-05,3,3.3083818140912711e-07,2.7327999472618103e-05,2.6528000831604002e-05,0.0004049919992685318,3,2.3910015380089971e-06,0.00013833600282669068,0.00013286399841308595
8,100,2,8,3,cuda,numba,2,0.0017430782318115234,0.0015308856964111328,3.314018249511719e-05,0.00019996799528598785,1,0.0,0.00019996799528598785,0.00019996799528598785,0.00029692799597978595,3,2.2410659236787734e-06,0.00010063999891281128,9.5807999372482297e-05,4.607999976724386e-05,3,5.2255798870285335e-08,1.5424000099301338e-05,1.5296000055968763e-05,7.923199981451035e-05,3,3.3999693582719784e-07,2.6815999299287795e-05,2.5984000414609909e-05,0.000412543997168541,3,2.072576093621631e-06,0.00013916799426078798,0.0001345919966697693
9,100,2,16,3,cuda,numba,0,0.0018358230590820312,0.0016210079193115234,3.600120544433594e-05,0.00019920000433921813,1,0.0,0.00019920000433921813,0.00019920000433921813,0.0002950719967484474,3,5.4597508387700482e-06,0.0001026879996061325,9.0655997395515441e-05,4.067200049757958e-05,3,9.8364943034318169e-07,1.4944000169634819e-05,1.2768000364303589e-05,7.795200124382972e-05,3,6.5632485295537599e-07,2.6464000344276429e-05,2.5056000798940658e-05,0.0005175999850034714,3,1.4013939292900054e-05,0.00019235199689865111,0.00016259199380874633
