threshold,max_assocs,n_assocs,n_assocs_pc,density,dataset
0.6000000000000001,26.0,2558.0,0.2639834881320949,0.1136888888888889,iris
0.6500000000000001,24.0,2466.0,0.2374807395993837,0.1096,iris
0.6000000000000001,26.0,2692.0,0.2693077230892357,0.11964444444444446,iris
0.6000000000000001,26.0,2672.0,0.2274042553191489,0.11875555555555554,iris
0.6500000000000001,25.0,2406.0,0.25305006310475386,0.10693333333333334,iris
0.7500000000000001,18.0,1668.0,0.1661354581673307,0.07413333333333333,iris
0.6500000000000001,22.0,2288.0,0.1944586095529492,0.10168888888888887,iris
0.6000000000000001,24.0,2690.0,0.2711693548387097,0.11955555555555555,iris
0.6000000000000001,29.0,2664.0,0.2840690978886756,0.1184,iris
0.6000000000000001,27.0,2654.0,0.2632936507936508,0.11795555555555555,iris
0.6000000000000001,27.0,2720.0,0.2631069839427355,0.12088888888888888,iris
0.7500000000000001,19.0,1660.0,0.17078189300411525,0.07377777777777778,iris
0.6000000000000001,26.0,2622.0,0.2723307021188201,0.11653333333333335,iris
0.6000000000000001,33.0,2694.0,0.2685942173479561,0.11973333333333333,iris
0.7000000000000001,21.0,1940.0,0.15917295700689202,0.08622222222222223,iris
0.6500000000000001,23.0,2300.0,0.2275425405619312,0.10222222222222224,iris
0.6000000000000001,24.0,2452.0,0.2472272635612019,0.10897777777777776,iris
0.6500000000000001,24.0,2452.0,0.25616381111575426,0.10897777777777776,iris
0.6000000000000001,27.0,2730.0,0.26448362720403024,0.12133333333333332,iris
0.6000000000000001,28.0,2602.0,0.2802067628688348,0.11564444444444445,iris
0.8,17.0,1900.0,0.14383043149129449,0.05996717586163362,wine
0.7000000000000001,22.0,2446.0,0.15801033591731267,0.07719984850397676,wine
0.7500000000000001,19.0,2096.0,0.14789726220716906,0.06615326347683373,wine
0.7500000000000001,20.0,2256.0,0.1740203640851589,0.07120313091781341,wine
0.7500000000000001,19.0,2174.0,0.1696581863586702,0.06861507385431133,wine
0.7000000000000001,20.0,2464.0,0.17245240761478164,0.07776795859108697,wine
0.7500000000000001,19.0,2122.0,0.16141792180130834,0.06697386693599293,wine
0.6500000000000001,25.0,2956.0,0.22492771267691367,0.09329630097209947,wine
0.7000000000000001,22.0,2632.0,0.17472118959107807,0.08307031940411565,wine
0.7500000000000001,19.0,2066.0,0.16783103168155972,0.06520641333165005,wine
0.7000000000000001,22.0,2618.0,0.20348204570184986,0.08262845600302993,wine
0.7500000000000001,19.0,2138.0,0.15425685425685426,0.06747885368009089,wine
0.7000000000000001,19.0,2468.0,0.18810975609756092,0.07789420527711148,wine
0.7500000000000001,20.0,2240.0,0.1737242128121607,0.07069814417371544,wine
0.6500000000000001,27.0,2922.0,0.2179621065194689,0.0922232041408913,wine
0.7500000000000001,19.0,2218.0,0.16854103343465046,0.07000378740058072,wine
0.7000000000000001,24.0,2554.0,0.15157270029673592,0.08060850902663805,wine
0.7000000000000001,22.0,2600.0,0.2023976335045929,0.08206034591591971,wine
0.7000000000000001,23.0,2658.0,0.2054413356005565,0.08389092286327482,wine
0.7500000000000001,21.0,2244.0,0.1705685618729097,0.07082439085973992,wine
0.55,29.0,3316.0,0.12123427902895585,0.06160820451843044,house_votes
0.5,35.0,4134.0,0.15206356212756567,0.07680588585017836,house_votes
0.7500000000000001,12.0,1156.0,0.04186888808402753,0.02147740784780024,house_votes
0.7000000000000001,17.0,1360.0,0.0504750593824228,0.025267538644470868,house_votes
0.5,40.0,4374.0,0.16079700022057206,0.08126486325802616,house_votes
0.55,32.0,3294.0,0.12121881209980127,0.06119946492271105,house_votes
0.5,32.0,4026.0,0.14662393473668875,0.07479934601664685,house_votes
0.55,33.0,3452.0,0.12656742685341352,0.06413495838287753,house_votes
0.5,38.0,4274.0,0.15615637559371576,0.07940695600475624,house_votes
0.45,51.0,5492.0,0.2037696645888988,0.10203626634958383,house_votes
0.7000000000000001,15.0,1486.0,0.05480159315533265,0.027608501783590964,house_votes
0.5,36.0,4088.0,0.14994131455399062,0.0759512485136742,house_votes
0.5,44.0,4276.0,0.15620661941988748,0.07944411414982164,house_votes
0.6500000000000001,18.0,1808.0,0.06497053327583728,0.03359096313912008,house_votes
0.6000000000000001,26.0,2440.0,0.08961363302482739,0.04533293697978597,house_votes
0.5,34.0,3926.0,0.14297159504734158,0.07294143876337693,house_votes
0.5,34.0,4334.0,0.159291384886798,0.0805217003567182,house_votes
0.0,176.0,27526.0,1.0,0.5114075505350772,house_votes
0.6000000000000001,30.0,2536.0,0.0931736350944228,0.04711652794292509,house_votes
0.7500000000000001,12.0,1056.0,0.03909373611728121,0.01961950059453032,house_votes
0.0,0.0,0.0,0.0,0.0,ionosphere
1.0,10.0,501.0,0.007394724801109947,0.0040665254340468025,ionosphere
1.0,3.0,379.0,0.005660180110216699,0.003076273731544387,ionosphere
0.6500000000000001,64.0,8831.0,0.13090914481388696,0.0716796129901543,ionosphere
0.0,0.0,0.0,0.0,0.0,ionosphere
1.0,5.0,389.0,0.005981762544017469,0.0031574419038806504,ionosphere
1.0,2.0,369.0,0.005396077972595528,0.0029951055592081235,ionosphere
1.0,4.0,393.0,0.005915556559042673,0.0031899091728151557,ionosphere
1.0,3.0,377.0,0.005620071257136894,0.003060040097077134,ionosphere
1.0,5.0,399.0,0.0059684971055032855,0.0032386100762169137,ionosphere
1.0,5.0,415.0,0.0061830480191897965,0.0033684791519549354,ionosphere
1.0,4.0,389.0,0.005840928542470608,0.0031574419038806504,ionosphere
1.0,4.0,407.0,0.0059307832422586535,0.003303544614085925,ionosphere
