threshold,max_assocs,n_assocs,n_assocs_pc,density,dataset
0.7000000000000001,100.0,18954.0,0.16460555111682354,0.05265,synthetic_control
0.7000000000000001,100.0,19474.0,0.1766381249546477,0.05409444444444445,synthetic_control
0.6000000000000001,100.0,23136.0,0.2042264710555585,0.06426666666666668,synthetic_control
0.6500000000000001,100.0,21174.0,0.18561635429633397,0.05881666666666668,synthetic_control
0.6500000000000001,100.0,21426.0,0.20692252718598492,0.059516666666666676,synthetic_control
0.6500000000000001,100.0,21538.0,0.1948399703280201,0.05982777777777778,synthetic_control
0.6500000000000001,100.0,21486.0,0.19994044406394812,0.059683333333333324,synthetic_control
0.6500000000000001,100.0,21566.0,0.20139329871876285,0.05990555555555555,synthetic_control
0.6000000000000001,100.0,23170.0,0.2288304659569005,0.0643611111111111,synthetic_control
0.7000000000000001,100.0,19428.0,0.17239298644139986,0.05396666666666667,synthetic_control
0.6500000000000001,100.0,20946.0,0.2059141581958672,0.05818333333333332,synthetic_control
0.6500000000000001,100.0,21796.0,0.17952392718886415,0.060544444444444435,synthetic_control
0.6500000000000001,100.0,21280.0,0.192450304773274,0.05911111111111113,synthetic_control
0.6000000000000001,100.0,22632.0,0.21881465725611526,0.06286666666666668,synthetic_control
0.6500000000000001,100.0,21586.0,0.2098539791176528,0.05996111111111111,synthetic_control
0.6500000000000001,100.0,21094.0,0.2011404378671142,0.058594444444444435,synthetic_control
0.7000000000000001,100.0,18098.0,0.1646140692365065,0.05027222222222223,synthetic_control
0.3,110.0,52232.0,0.3125044872561924,0.08855523003472222,pima
0.7000000000000001,35.0,11464.0,0.06419963263294655,0.019436306423611112,pima
0.3,115.0,54418.0,0.3219123788791217,0.09226142035590278,pima
0.35000000000000003,100.0,45452.0,0.26880359571825657,0.0770602756076389,pima
0.3,116.0,54126.0,0.28826919184925603,0.091766357421875,pima
0.35000000000000003,90.0,45018.0,0.2689922202703187,0.076324462890625,pima
0.3,108.0,51462.0,0.3069755789122058,0.087249755859375,pima
0.3,114.0,50788.0,0.3004069464818057,0.08610704210069445,pima
0.25,111.0,56418.0,0.3427873573693996,0.09565226236979167,pima
0.35000000000000003,105.0,48216.0,0.2517228417491542,0.08174641927083333,pima
0.35000000000000003,99.0,45300.0,0.2520222981318082,0.07680257161458333,pima
0.6500000000000001,42.0,15208.0,0.08406947561609304,0.025783962673611112,pima
0.35000000000000003,94.0,45258.0,0.28163387223238623,0.07673136393229167,pima
0.3,111.0,51750.0,0.29986788429445577,0.087738037109375,pima
0.3,107.0,52262.0,0.31085759151092657,0.08860609266493055,pima
0.3,114.0,55438.0,0.30008660820612754,0.0939907497829861,pima
0.6500000000000001,42.0,15348.0,0.08396061269146607,0.026021321614583332,pima
0.3,111.0,51676.0,0.3047041758552779,0.0876125759548611,pima
0.3,109.0,51414.0,0.2934924078091106,0.08716837565104167,pima
0.3,107.0,52034.0,0.2981686073164023,0.08821953667534722,pima
