threshold,max assoc,n assocs,accuracy,round
0.0,294.0,67751.0,0.6438746438746439,0.0
0.05,201.0,48905.0,0.6438746438746439,0.0
0.1,171.0,38693.0,0.6438746438746439,0.0
0.15000000000000002,161.0,33287.0,0.6438746438746439,0.0
0.2,145.0,28831.0,0.6438746438746439,0.0
0.25,134.0,25531.0,0.6438746438746439,0.0
0.3,121.0,22931.0,0.6438746438746439,0.0
0.35000000000000003,112.0,20557.0,0.6438746438746439,0.0
0.4,104.0,18365.0,0.6438746438746439,0.0
0.45,93.0,16309.0,0.6438746438746439,0.0
0.5,80.0,14155.0,0.6438746438746439,0.0
0.55,75.0,12503.0,0.6438746438746439,0.0
0.6000000000000001,71.0,10719.0,0.6438746438746439,0.0
0.6500000000000001,68.0,9107.0,0.6438746438746439,0.0
0.7000000000000001,65.0,7833.0,0.6438746438746439,0.0
0.7500000000000001,59.0,6329.0,0.6438746438746439,0.0
0.8,52.0,4983.0,0.6467236467236467,0.0
0.8500000000000001,46.0,3777.0,0.6438746438746439,0.0
0.9000000000000001,38.0,2477.0,0.6438746438746439,0.0
0.9500000000000001,28.0,1381.0,0.6438746438746439,0.0
1.0,10.0,501.0,0.6381766381766382,0.0
0.0,302.0,66959.0,0.6438746438746439,1.0
0.05,208.0,52123.0,0.6438746438746439,1.0
0.1,168.0,38555.0,0.6438746438746439,1.0
0.15000000000000002,150.0,31679.0,0.6438746438746439,1.0
0.2,141.0,27523.0,0.6438746438746439,1.0
0.25,129.0,24473.0,0.6438746438746439,1.0
0.3,115.0,21983.0,0.6438746438746439,1.0
0.35000000000000003,108.0,19709.0,0.6438746438746439,1.0
0.4,92.0,17549.0,0.6438746438746439,1.0
0.45,82.0,15579.0,0.6438746438746439,1.0
0.5,75.0,13573.0,0.6438746438746439,1.0
0.55,70.0,12005.0,0.6438746438746439,1.0
0.6000000000000001,67.0,10361.0,0.6438746438746439,1.0
0.6500000000000001,63.0,8703.0,0.6438746438746439,1.0
0.7000000000000001,59.0,7249.0,0.6438746438746439,1.0
0.7500000000000001,53.0,5873.0,0.6438746438746439,1.0
0.8,46.0,4573.0,0.6438746438746439,1.0
0.8500000000000001,37.0,3267.0,0.6438746438746439,1.0
0.9000000000000001,29.0,2003.0,0.6438746438746439,1.0
0.9500000000000001,17.0,1009.0,0.6381766381766382,1.0
1.0,3.0,379.0,0.6438746438746439,1.0
0.0,343.0,67731.0,0.6438746438746439,2.0
0.05,190.0,49201.0,0.6438746438746439,2.0
0.1,169.0,37251.0,0.6438746438746439,2.0
0.15000000000000002,160.0,31089.0,0.6438746438746439,2.0
0.2,146.0,27557.0,0.6438746438746439,2.0
0.25,130.0,24857.0,0.6438746438746439,2.0
0.3,122.0,22321.0,0.6438746438746439,2.0
0.35000000000000003,112.0,20011.0,0.6438746438746439,2.0
0.4,102.0,18047.0,0.6438746438746439,2.0
0.45,88.0,16069.0,0.6438746438746439,2.0
0.5,79.0,13989.0,0.6438746438746439,2.0
0.55,75.0,12175.0,0.6438746438746439,2.0
0.6000000000000001,69.0,10561.0,0.6438746438746439,2.0
0.6500000000000001,65.0,9103.0,0.6438746438746439,2.0
0.7000000000000001,61.0,7555.0,0.6438746438746439,2.0
0.7500000000000001,54.0,5991.0,0.6438746438746439,2.0
0.8,47.0,4523.0,0.6467236467236467,2.0
0.8500000000000001,38.0,3259.0,0.6381766381766382,2.0
0.9000000000000001,29.0,1909.0,0.6438746438746439,2.0
0.9500000000000001,18.0,947.0,0.6438746438746439,2.0
1.0,2.0,365.0,0.6438746438746439,2.0
0.0,295.0,67459.0,0.6438746438746439,3.0
0.05,192.0,47409.0,0.6438746438746439,3.0
0.1,170.0,36003.0,0.6438746438746439,3.0
0.15000000000000002,157.0,30405.0,0.6438746438746439,3.0
0.2,143.0,26881.0,0.6438746438746439,3.0
0.25,132.0,24219.0,0.6438746438746439,3.0
0.3,117.0,21663.0,0.6438746438746439,3.0
0.35000000000000003,107.0,19497.0,0.6438746438746439,3.0
0.4,94.0,17371.0,0.6438746438746439,3.0
0.45,87.0,15311.0,0.6438746438746439,3.0
0.5,74.0,13525.0,0.6438746438746439,3.0
0.55,72.0,11919.0,0.6438746438746439,3.0
0.6000000000000001,68.0,10339.0,0.6438746438746439,3.0
0.6500000000000001,64.0,8831.0,0.6438746438746439,3.0
0.7000000000000001,60.0,7551.0,0.5754985754985755,3.0
0.7500000000000001,55.0,6185.0,0.6467236467236467,3.0
0.8,47.0,4725.0,0.6381766381766382,3.0
0.8500000000000001,41.0,3379.0,0.6381766381766382,3.0
0.9000000000000001,29.0,1951.0,0.6381766381766382,3.0
0.9500000000000001,15.0,973.0,0.6438746438746439,3.0
1.0,5.0,401.0,0.6381766381766382,3.0
0.0,287.0,65031.0,0.6467236467236467,4.0
0.05,190.0,47441.0,0.6438746438746439,4.0
0.1,166.0,36603.0,0.6438746438746439,4.0
0.15000000000000002,151.0,31369.0,0.6438746438746439,4.0
0.2,143.0,27459.0,0.6438746438746439,4.0
0.25,133.0,24545.0,0.6438746438746439,4.0
0.3,126.0,22363.0,0.6438746438746439,4.0
0.35000000000000003,111.0,19975.0,0.6438746438746439,4.0
0.4,100.0,17801.0,0.6438746438746439,4.0
0.45,85.0,15623.0,0.6438746438746439,4.0
0.5,73.0,13699.0,0.6438746438746439,4.0
0.55,70.0,12027.0,0.6438746438746439,4.0
0.6000000000000001,67.0,10317.0,0.6438746438746439,4.0
0.6500000000000001,62.0,8789.0,0.6438746438746439,4.0
0.7000000000000001,55.0,7255.0,0.6438746438746439,4.0
0.7500000000000001,50.0,5749.0,0.6438746438746439,4.0
0.8,44.0,4301.0,0.6438746438746439,4.0
0.8500000000000001,35.0,3063.0,0.6438746438746439,4.0
0.9000000000000001,26.0,1841.0,0.6438746438746439,4.0
0.9500000000000001,12.0,923.0,0.6381766381766382,4.0
1.0,5.0,389.0,0.6381766381766382,4.0
0.0,307.0,68383.0,0.6438746438746439,5.0
0.05,198.0,49985.0,0.6438746438746439,5.0
0.1,167.0,36677.0,0.6438746438746439,5.0
0.15000000000000002,157.0,31061.0,0.6438746438746439,5.0
0.2,138.0,27075.0,0.6438746438746439,5.0
0.25,127.0,24179.0,0.6438746438746439,5.0
0.3,113.0,21729.0,0.6438746438746439,5.0
0.35000000000000003,105.0,19581.0,0.6438746438746439,5.0
0.4,90.0,17753.0,0.6438746438746439,5.0
0.45,78.0,15651.0,0.6438746438746439,5.0
0.5,73.0,13807.0,0.6438746438746439,5.0
0.55,68.0,12235.0,0.6438746438746439,5.0
0.6000000000000001,66.0,10639.0,0.6438746438746439,5.0
0.6500000000000001,63.0,9025.0,0.6438746438746439,5.0
0.7000000000000001,58.0,7389.0,0.6467236467236467,5.0
0.7500000000000001,52.0,5821.0,0.6438746438746439,5.0
0.8,45.0,4501.0,0.6467236467236467,5.0
0.8500000000000001,38.0,3263.0,0.6438746438746439,5.0
0.9000000000000001,24.0,1941.0,0.6438746438746439,5.0
0.9500000000000001,16.0,899.0,0.6438746438746439,5.0
1.0,2.0,369.0,0.6438746438746439,5.0
0.0,277.0,66435.0,0.6467236467236467,6.0
0.05,204.0,49629.0,0.6438746438746439,6.0
0.1,174.0,38959.0,0.6438746438746439,6.0
0.15000000000000002,162.0,32847.0,0.6438746438746439,6.0
0.2,154.0,28417.0,0.6438746438746439,6.0
0.25,135.0,25383.0,0.6438746438746439,6.0
0.3,116.0,22645.0,0.6438746438746439,6.0
0.35000000000000003,109.0,20141.0,0.6438746438746439,6.0
0.4,101.0,17859.0,0.6438746438746439,6.0
0.45,88.0,15783.0,0.6438746438746439,6.0
0.5,78.0,13729.0,0.6438746438746439,6.0
0.55,71.0,12093.0,0.6438746438746439,6.0
0.6000000000000001,68.0,10625.0,0.6438746438746439,6.0
0.6500000000000001,65.0,9013.0,0.6438746438746439,6.0
0.7000000000000001,59.0,7347.0,0.6438746438746439,6.0
0.7500000000000001,52.0,5709.0,0.6438746438746439,6.0
0.8,43.0,4289.0,0.6381766381766382,6.0
0.8500000000000001,36.0,3085.0,0.6438746438746439,6.0
0.9000000000000001,28.0,1905.0,0.6438746438746439,6.0
0.9500000000000001,16.0,947.0,0.6438746438746439,6.0
1.0,4.0,393.0,0.6381766381766382,6.0
0.0,302.0,67081.0,0.6438746438746439,7.0
0.05,208.0,50173.0,0.6438746438746439,7.0
0.1,171.0,39057.0,0.6438746438746439,7.0
0.15000000000000002,157.0,32765.0,0.6438746438746439,7.0
0.2,147.0,28691.0,0.6438746438746439,7.0
0.25,138.0,25689.0,0.6438746438746439,7.0
0.3,123.0,23081.0,0.6438746438746439,7.0
0.35000000000000003,112.0,20937.0,0.6438746438746439,7.0
0.4,100.0,18753.0,0.6438746438746439,7.0
0.45,90.0,16443.0,0.6438746438746439,7.0
0.5,79.0,14293.0,0.6438746438746439,7.0
0.55,76.0,12533.0,0.6438746438746439,7.0
0.6000000000000001,71.0,10759.0,0.6438746438746439,7.0
0.6500000000000001,67.0,8995.0,0.6438746438746439,7.0
0.7000000000000001,60.0,7353.0,0.6438746438746439,7.0
0.7500000000000001,52.0,5845.0,0.6438746438746439,7.0
0.8,45.0,4367.0,0.6438746438746439,7.0
0.8500000000000001,37.0,3087.0,0.6381766381766382,7.0
0.9000000000000001,27.0,1875.0,0.6438746438746439,7.0
0.9500000000000001,14.0,921.0,0.6438746438746439,7.0
1.0,3.0,377.0,0.6381766381766382,7.0
0.0,295.0,66851.0,0.6438746438746439,8.0
0.05,197.0,50967.0,0.6438746438746439,8.0
0.1,173.0,39021.0,0.6438746438746439,8.0
0.15000000000000002,161.0,32737.0,0.6438746438746439,8.0
0.2,146.0,28199.0,0.6438746438746439,8.0
0.25,131.0,25027.0,0.6438746438746439,8.0
0.3,123.0,22391.0,0.6438746438746439,8.0
0.35000000000000003,117.0,19981.0,0.6438746438746439,8.0
0.4,97.0,17665.0,0.6438746438746439,8.0
0.45,87.0,15713.0,0.6438746438746439,8.0
0.5,77.0,13931.0,0.6467236467236467,8.0
0.55,74.0,12189.0,0.6438746438746439,8.0
0.6000000000000001,69.0,10509.0,0.6438746438746439,8.0
0.6500000000000001,67.0,9131.0,0.6438746438746439,8.0
0.7000000000000001,63.0,7649.0,0.6438746438746439,8.0
0.7500000000000001,57.0,6107.0,0.6438746438746439,8.0
0.8,50.0,4625.0,0.6438746438746439,8.0
