,threshold,max_assocs,n_assocs,n_assocs_pc,density
0,0.6000000000000001,26.0,2558.0,0.26398348813209493,0.1136888888888889
1,0.6500000000000001,24.0,2466.0,0.23748073959938368,0.1096
2,0.6000000000000001,26.0,2692.0,0.2693077230892357,0.11964444444444444
3,0.6000000000000001,26.0,2672.0,0.22740425531914893,0.11875555555555556
4,0.6500000000000001,25.0,2406.0,0.25305006310475386,0.10693333333333334
5,0.7500000000000001,18.0,1668.0,0.1661354581673307,0.07413333333333333
6,0.6500000000000001,22.0,2288.0,0.19445860955294916,0.10168888888888888
7,0.6000000000000001,24.0,2690.0,0.2711693548387097,0.11955555555555555
8,0.6000000000000001,29.0,2664.0,0.2840690978886756,0.1184
9,0.6000000000000001,27.0,2654.0,0.2632936507936508,0.11795555555555555
10,0.6000000000000001,27.0,2720.0,0.2631069839427355,0.12088888888888889
11,0.7500000000000001,19.0,1660.0,0.17078189300411523,0.07377777777777778
12,0.6000000000000001,26.0,2622.0,0.2723307021188201,0.11653333333333334
13,0.6000000000000001,33.0,2694.0,0.26859421734795613,0.11973333333333333
14,0.7000000000000001,21.0,1940.0,0.15917295700689202,0.08622222222222223
15,0.6500000000000001,23.0,2300.0,0.22754254056193116,0.10222222222222223
16,0.6000000000000001,24.0,2452.0,0.24722726356120187,0.10897777777777778
17,0.6500000000000001,24.0,2452.0,0.25616381111575426,0.10897777777777778
18,0.6000000000000001,27.0,2730.0,0.26448362720403024,0.12133333333333333
19,0.6000000000000001,28.0,2602.0,0.2802067628688348,0.11564444444444444
