threshold,max assoc,n assocs,accuracy,round
0.6000000000000001,96.0,86248.0,0.102,5.0
0.6500000000000001,86.0,71212.0,0.1015,5.0
0.7000000000000001,75.0,57082.0,0.1015,5.0
0.7500000000000001,61.0,43624.0,0.1005,5.0
0.8,51.0,31200.0,0.168,5.0
0.8500000000000001,42.0,20072.0,0.1025,5.0
0.9000000000000001,33.0,10684.0,0.101,5.0
0.9500000000000001,17.0,4114.0,0.1005,5.0
1.0,3.0,2046.0,0.1005,5.0
0.0,866.0,751902.0,0.103,6.0
0.05,447.0,457444.0,0.103,6.0
0.1,296.0,360158.0,0.103,6.0
0.15000000000000002,245.0,306480.0,0.103,6.0
0.2,205.0,266178.0,0.103,6.0
0.25,197.0,236252.0,0.103,6.0
0.3,192.0,206884.0,0.103,6.0
0.35000000000000003,191.0,180492.0,0.103,6.0
0.4,189.0,157958.0,0.103,6.0
0.45,167.0,137762.0,0.103,6.0
0.5,134.0,119474.0,0.103,6.0
0.55,121.0,102312.0,0.1025,6.0
0.6000000000000001,96.0,86068.0,0.103,6.0
0.6500000000000001,88.0,70996.0,0.1025,6.0
0.7000000000000001,86.0,57136.0,0.101,6.0
0.7500000000000001,76.0,43900.0,0.124,6.0
0.8,65.0,31490.0,0.1025,6.0
0.8500000000000001,49.0,20202.0,0.1035,6.0
0.9000000000000001,33.0,10566.0,0.1015,6.0
0.9500000000000001,15.0,4226.0,0.1015,6.0
1.0,3.0,2044.0,0.1005,6.0
0.0,999.0,781290.0,0.103,7.0
0.05,453.0,455142.0,0.103,7.0
0.1,319.0,360068.0,0.103,7.0
0.15000000000000002,231.0,308610.0,0.103,7.0
0.2,207.0,268092.0,0.103,7.0
0.25,198.0,233106.0,0.103,7.0
0.3,197.0,205240.0,0.103,7.0
0.35000000000000003,187.0,179964.0,0.103,7.0
0.4,177.0,157614.0,0.103,7.0
0.45,140.0,137846.0,0.103,7.0
0.5,124.0,118424.0,0.103,7.0
0.55,115.0,100852.0,0.1025,7.0
0.6000000000000001,97.0,85362.0,0.1015,7.0
0.6500000000000001,89.0,70710.0,0.102,7.0
0.7000000000000001,84.0,57132.0,0.1015,7.0
0.7500000000000001,77.0,44296.0,0.1025,7.0
0.8,65.0,32220.0,0.1025,7.0
0.8500000000000001,49.0,21116.0,0.102,7.0
0.9000000000000001,37.0,11730.0,0.101,7.0
0.9500000000000001,25.0,4736.0,0.1005,7.0
1.0,4.0,2072.0,0.1005,7.0
0.0,892.0,791914.0,0.1025,8.0
0.05,422.0,451430.0,0.1025,8.0
0.1,294.0,358110.0,0.1025,8.0
0.15000000000000002,222.0,303098.0,0.1025,8.0
0.2,199.0,259736.0,0.1025,8.0
0.25,198.0,227176.0,0.1025,8.0
0.3,189.0,200812.0,0.1025,8.0
0.35000000000000003,184.0,177074.0,0.1025,8.0
0.4,140.0,155772.0,0.1025,8.0
0.45,127.0,135776.0,0.1025,8.0
0.5,117.0,116464.0,0.1025,8.0
0.55,106.0,98762.0,0.198,8.0
0.6000000000000001,93.0,82908.0,0.198,8.0
0.6500000000000001,88.0,68236.0,0.2745,8.0
0.7000000000000001,79.0,54454.0,0.1785,8.0
0.7500000000000001,65.0,41552.0,0.265,8.0
0.8,53.0,29514.0,0.101,8.0
0.8500000000000001,44.0,18816.0,0.1005,8.0
0.9000000000000001,27.0,9544.0,0.1015,8.0
0.9500000000000001,15.0,3798.0,0.1015,8.0
1.0,2.0,2024.0,0.1005,8.0
0.0,908.0,756096.0,0.1025,9.0
0.05,479.0,451376.0,0.1025,9.0
0.1,293.0,358512.0,0.1025,9.0
0.15000000000000002,228.0,306410.0,0.1025,9.0
0.2,200.0,266248.0,0.1025,9.0
0.25,198.0,230584.0,0.1025,9.0
0.3,191.0,201020.0,0.1025,9.0
0.35000000000000003,186.0,176830.0,0.1025,9.0
0.4,179.0,155886.0,0.1025,9.0
0.45,138.0,136062.0,0.1025,9.0
0.5,125.0,117466.0,0.1025,9.0
0.55,102.0,100032.0,0.102,9.0
0.6000000000000001,90.0,83550.0,0.1985,9.0
