threshold,max assoc,n assocs,accuracy,round
0.0,1265.0,2154821.0,0.29871828407010204,0.0
0.05,640.0,1354155.0,0.29871828407010204,0.0
0.1,483.0,1082205.0,0.29871828407010204,0.0
0.15000000000000002,375.0,906397.0,0.29871828407010204,0.0
0.2,362.0,773681.0,0.29871828407010204,0.0
0.25,333.0,667305.0,0.29871828407010204,0.0
0.3,306.0,576899.0,0.29871828407010204,0.0
0.35000000000000003,267.0,496881.0,0.29871828407010204,0.0
0.4,227.0,424061.0,0.29871828407010204,0.0
0.45,187.0,357715.0,0.29871828407010204,0.0
0.5,148.0,296785.0,0.20088935391054147,0.0
0.55,120.0,240753.0,0.10227569971226785,0.0
0.6000000000000001,109.0,190577.0,0.10279884907140989,0.0
0.6500000000000001,94.0,145319.0,0.10279884907140989,0.0
0.7000000000000001,80.0,104427.0,0.10279884907140989,0.0
0.7500000000000001,65.0,70407.0,0.10332199843055193,0.0
0.8,52.0,44135.0,0.10279884907140989,0.0
0.8500000000000001,43.0,24417.0,0.1030604237509809,0.0
0.9000000000000001,35.0,11913.0,0.1030604237509809,0.0
0.9500000000000001,18.0,5509.0,0.10279884907140989,0.0
1.0,3.0,3845.0,0.10279884907140989,0.0
0.0,1249.0,1986095.0,0.29897985874967303,1.0
0.05,615.0,1309171.0,0.29897985874967303,1.0
0.1,461.0,1056249.0,0.29897985874967303,1.0
0.15000000000000002,380.0,892687.0,0.29897985874967303,1.0
0.2,375.0,755947.0,0.29897985874967303,1.0
0.25,362.0,650811.0,0.29897985874967303,1.0
0.3,309.0,559197.0,0.29897985874967303,1.0
0.35000000000000003,249.0,478921.0,0.29897985874967303,1.0
0.4,210.0,407219.0,0.29897985874967303,1.0
0.45,170.0,342673.0,0.29897985874967303,1.0
0.5,144.0,284479.0,0.29924143342924403,1.0
0.55,124.0,230417.0,0.20036620455139942,1.0
0.6000000000000001,106.0,181035.0,0.10227569971226785,1.0
0.6500000000000001,90.0,137245.0,0.10253727439183886,1.0
0.7000000000000001,72.0,98681.0,0.10279884907140989,1.0
0.7500000000000001,57.0,66239.0,0.10279884907140989,1.0
0.8,46.0,41175.0,0.1030604237509809,1.0
0.8500000000000001,37.0,22959.0,0.1030604237509809,1.0
