threshold,max assoc,n assocs,accuracy,round,n_clusts
0.1,286.0,356728.0,0.1,5.0,2
0.15000000000000002,216.0,304664.0,0.1,5.0,2
0.2,199.0,260164.0,0.1,5.0,2
0.25,197.0,225230.0,0.1,5.0,2
0.3,194.0,196902.0,0.1,5.0,2
0.35000000000000003,186.0,173766.0,0.1,5.0,2
0.4,171.0,153264.0,0.1,5.0,2
0.45,123.0,133820.0,0.099,5.0,7
0.5,111.0,115238.0,0.103,5.0,13
0.55,102.0,98638.0,0.3005,5.0,26
0.6000000000000001,89.0,83242.0,0.3,5.0,45
0.6500000000000001,85.0,68794.0,0.5675,5.0,74
0.7000000000000001,78.0,55250.0,-1.0,5.0,115
0.7500000000000001,68.0,42602.0,-1.0,5.0,179
0.8,56.0,30502.0,-1.0,5.0,275
0.8500000000000001,49.0,19628.0,-1.0,5.0,468
0.9000000000000001,28.0,9916.0,-1.0,5.0,846
0.9500000000000001,11.0,3822.0,-1.0,5.0,1477
1.0,3.0,2036.0,-1.0,5.0,1983
0.0,1029.0,799442.0,0.1,6.0,2
0.05,488.0,446084.0,0.1,6.0,2
0.1,315.0,355704.0,0.1,6.0,2
0.15000000000000002,249.0,303654.0,0.1,6.0,2
0.2,200.0,261874.0,0.1,6.0,2
0.25,198.0,228052.0,0.1,6.0,2
0.3,196.0,200438.0,0.1,6.0,2
0.35000000000000003,187.0,176266.0,0.1,6.0,2
0.4,160.0,155206.0,0.1005,6.0,4
0.45,140.0,136520.0,0.0995,6.0,6
0.5,132.0,118464.0,0.1035,6.0,11
0.55,110.0,101806.0,0.204,6.0,23
0.6000000000000001,94.0,86528.0,0.3,6.0,42
0.6500000000000001,89.0,71746.0,0.391,6.0,74
0.7000000000000001,81.0,58100.0,-1.0,6.0,110
0.7500000000000001,72.0,44952.0,-1.0,6.0,177
0.8,58.0,32852.0,-1.0,6.0,279
0.8500000000000001,48.0,21556.0,-1.0,6.0,464
0.9000000000000001,34.0,11780.0,-1.0,6.0,838
0.9500000000000001,18.0,4616.0,-1.0,6.0,1420
1.0,3.0,2062.0,-1.0,6.0,1972
0.0,918.0,776816.0,0.1,7.0,2
0.05,435.0,459776.0,0.1,7.0,2
0.1,316.0,366318.0,0.1,7.0,2
0.15000000000000002,231.0,314586.0,0.1,7.0,2
0.2,207.0,267876.0,0.1,7.0,2
0.25,198.0,233030.0,0.1,7.0,2
0.3,195.0,204430.0,0.1,7.0,2
0.35000000000000003,184.0,180394.0,0.1,7.0,2
0.4,156.0,158702.0,0.1,7.0,2
0.45,129.0,138514.0,0.1005,7.0,5
0.5,119.0,119818.0,0.103,7.0,12
0.55,110.0,102268.0,0.204,7.0,27
0.6000000000000001,92.0,86260.0,0.395,7.0,40
0.6500000000000001,87.0,70932.0,0.5665,7.0,67
0.7000000000000001,80.0,56754.0,-1.0,7.0,110
0.7500000000000001,67.0,43732.0,-1.0,7.0,172
0.8,51.0,31680.0,-1.0,7.0,280
0.8500000000000001,41.0,20490.0,-1.0,7.0,468
0.9000000000000001,31.0,10754.0,-1.0,7.0,835
0.9500000000000001,17.0,4194.0,-1.0,7.0,1443
1.0,3.0,2056.0,-1.0,7.0,1976
0.0,934.0,766084.0,0.1,8.0,2
0.05,456.0,456052.0,0.1,8.0,2
0.1,304.0,363794.0,0.1,8.0,2
0.15000000000000002,221.0,306928.0,0.1,8.0,2
0.2,199.0,264486.0,0.1,8.0,2
0.25,198.0,231598.0,0.1,8.0,2
0.3,191.0,203190.0,0.1,8.0,2
0.35000000000000003,188.0,179296.0,0.1,8.0,2
0.4,174.0,157988.0,0.1005,8.0,3
0.45,135.0,137918.0,0.0995,8.0,6
0.5,125.0,119308.0,0.1025,8.0,13
0.55,114.0,101912.0,0.205,8.0,26
0.6000000000000001,95.0,85098.0,0.3,8.0,44
0.6500000000000001,88.0,69928.0,0.473,8.0,69
0.7000000000000001,81.0,55522.0,-1.0,8.0,116
0.7500000000000001,71.0,42718.0,-1.0,8.0,171
0.8,58.0,30548.0,-1.0,8.0,274
0.8500000000000001,42.0,19520.0,-1.0,8.0,460
0.9000000000000001,33.0,10284.0,-1.0,8.0,856
0.9500000000000001,15.0,3974.0,-1.0,8.0,1483
1.0,3.0,2050.0,-1.0,8.0,1977
0.0,1053.0,773498.0,0.1,9.0,6
0.05,446.0,462136.0,0.1,9.0,6
0.1,332.0,366052.0,0.1,9.0,6
0.15000000000000002,237.0,312898.0,0.1,9.0,6
0.2,203.0,271130.0,0.1,9.0,6
0.25,198.0,235596.0,0.1,9.0,6
0.3,196.0,207000.0,0.1,9.0,6
0.35000000000000003,189.0,182594.0,0.1,9.0,6
0.4,184.0,160118.0,0.1,9.0,3
0.45,165.0,140418.0,0.1,9.0,6
0.5,133.0,121412.0,0.1035,9.0,11
0.55,107.0,103434.0,0.2035,9.0,24
0.6000000000000001,98.0,87044.0,0.2985,9.0,44
0.6500000000000001,90.0,72064.0,0.3795,9.0,67
0.7000000000000001,84.0,57664.0,-1.0,9.0,110
0.7500000000000001,77.0,44434.0,-1.0,9.0,179
0.8,66.0,31932.0,-1.0,9.0,279
0.8500000000000001,44.0,20270.0,-1.0,9.0,456
0.9000000000000001,30.0,10510.0,-1.0,9.0,813
0.9500000000000001,18.0,4122.0,-1.0,9.0,1455
1.0,5.0,2068.0,-1.0,9.0,1975
0.0,883.0,805120.0,0.1,10.0,2
0.05,428.0,459116.0,0.1,10.0,2
0.1,308.0,363206.0,0.1,10.0,2
0.15000000000000002,223.0,312084.0,0.1,10.0,2
0.2,200.0,274316.0,0.1,10.0,2
0.25,199.0,238340.0,0.1,10.0,2
0.3,198.0,208222.0,0.1,10.0,2
0.35000000000000003,195.0,182662.0,0.1,10.0,2
0.4,182.0,159788.0,0.1,10.0,2
0.45,135.0,138634.0,0.0995,10.0,5
0.5,128.0,118834.0,0.0995,10.0,9
0.55,119.0,100934.0,0.104,10.0,24
0.6000000000000001,94.0,84634.0,0.204,10.0,38
0.6500000000000001,83.0,69336.0,0.2985,10.0,64
0.7000000000000001,76.0,55728.0,-1.0,10.0,104
0.7500000000000001,65.0,42716.0,-1.0,10.0,169
0.8,49.0,30460.0,-1.0,10.0,270
0.8500000000000001,41.0,19574.0,-1.0,10.0,448
0.9000000000000001,31.0,10226.0,-1.0,10.0,841
0.9500000000000001,16.0,4188.0,-1.0,10.0,1474
1.0,4.0,2052.0,-1.0,10.0,1978
0.0,980.0,769578.0,0.1,11.0,2
0.05,457.0,460430.0,0.1,11.0,2
0.1,307.0,364820.0,0.1,11.0,2
0.15000000000000002,245.0,308870.0,0.1,11.0,2
0.2,201.0,265312.0,0.1,11.0,2
0.25,198.0,228358.0,0.1,11.0,2
0.3,195.0,199950.0,0.1,11.0,2
0.35000000000000003,187.0,176606.0,0.1,11.0,2
0.4,144.0,155392.0,0.1,11.0,2
0.45,129.0,136146.0,0.0995,11.0,5
0.5,121.0,117512.0,0.103,11.0,13
0.55,96.0,100168.0,0.2995,11.0,24
0.6000000000000001,90.0,84134.0,0.2995,11.0,42
0.6500000000000001,85.0,68956.0,0.472,11.0,65
0.7000000000000001,76.0,54782.0,-1.0,11.0,107
0.7500000000000001,62.0,41884.0,-1.0,11.0,176
0.8,51.0,29996.0,-1.0,11.0,265
0.8500000000000001,45.0,19082.0,-1.0,11.0,450
0.9000000000000001,29.0,9674.0,-1.0,11.0,817
0.9500000000000001,13.0,3768.0,-1.0,11.0,1489
1.0,3.0,2028.0,-1.0,11.0,1987
0.0,924.0,790888.0,0.103,12.0,12
0.05,458.0,456032.0,0.103,12.0,12
0.1,297.0,360640.0,0.103,12.0,12
0.15000000000000002,220.0,306312.0,0.103,12.0,12
0.2,200.0,261754.0,0.103,12.0,12
0.25,198.0,227090.0,0.103,12.0,12
0.3,198.0,198882.0,0.103,12.0,12
0.35000000000000003,182.0,175238.0,0.103,12.0,12
0.4,151.0,153752.0,0.103,12.0,12
0.45,128.0,134192.0,0.1005,12.0,5
0.5,119.0,115616.0,0.103,12.0,12
0.55,108.0,98016.0,0.3,12.0,27
0.6000000000000001,97.0,81752.0,0.395,12.0,47
0.6500000000000001,74.0,66672.0,0.5665,12.0,76
0.7000000000000001,63.0,52552.0,-1.0,12.0,115
0.7500000000000001,52.0,40036.0,-1.0,12.0,178
0.8,45.0,28438.0,-1.0,12.0,285
0.8500000000000001,37.0,17940.0,-1.0,12.0,488
0.9000000000000001,23.0,9360.0,-1.0,12.0,854
0.9500000000000001,13.0,3754.0,-1.0,12.0,1485
1.0,4.0,2046.0,-1.0,12.0,1981
0.0,947.0,761442.0,0.1,13.0,2
0.05,470.0,456974.0,0.1,13.0,2
0.1,300.0,360984.0,0.1,13.0,2
0.15000000000000002,232.0,305444.0,0.1,13.0,2
0.2,200.0,261182.0,0.1,13.0,2
0.25,198.0,226622.0,0.1,13.0,2
0.3,196.0,199384.0,0.1,13.0,2
0.35000000000000003,180.0,175518.0,0.1,13.0,2
0.4,153.0,154168.0,0.1,13.0,2
0.45,125.0,134576.0,0.1,13.0,4
0.5,111.0,117078.0,0.103,13.0,11
0.55,101.0,100650.0,0.299,13.0,25
0.6000000000000001,91.0,84704.0,0.38,13.0,39
0.6500000000000001,85.0,69848.0,0.3795,13.0,67
0.7000000000000001,72.0,56360.0,-1.0,13.0,109
0.7500000000000001,60.0,43312.0,-1.0,13.0,178
0.8,52.0,31104.0,-1.0,13.0,271
0.8500000000000001,46.0,19988.0,-1.0,13.0,435
0.9000000000000001,30.0,10412.0,-1.0,13.0,825
0.9500000000000001,17.0,3972.0,-1.0,13.0,1460
1.0,3.0,2042.0,-1.0,13.0,1980
0.0,949.0,864168.0,0.1005,14.0,3
0.05,473.0,466072.0,0.1005,14.0,3
0.1,309.0,367068.0,0.1005,14.0,3
0.15000000000000002,255.0,313568.0,0.1005,14.0,3
0.2,210.0,269986.0,0.1005,14.0,3
0.25,198.0,233018.0,0.1005,14.0,3
0.3,196.0,203080.0,0.1005,14.0,3
0.35000000000000003,191.0,179528.0,0.1005,14.0,3
0.4,187.0,158486.0,0.1005,14.0,3
0.45,170.0,139346.0,0.1005,14.0,4
0.5,144.0,120498.0,0.103,14.0,14
0.55,114.0,103626.0,0.2035,14.0,23
0.6000000000000001,102.0,87972.0,0.2995,14.0,40
0.6500000000000001,93.0,73232.0,0.3805,14.0,64
0.7000000000000001,89.0,58924.0,-1.0,14.0,110
0.7500000000000001,80.0,45432.0,-1.0,14.0,173
0.8,71.0,32926.0,-1.0,14.0,283
0.8500000000000001,55.0,21126.0,-1.0,14.0,451
0.9000000000000001,35.0,11166.0,-1.0,14.0,847
0.9500000000000001,21.0,4482.0,-1.0,14.0,1465
1.0,3.0,2044.0,-1.0,14.0,1981
0.0,895.0,769542.0,0.1,15.0,2
0.05,422.0,452226.0,0.1,15.0,2
0.1,314.0,356262.0,0.1,15.0,2
0.15000000000000002,228.0,303798.0,0.1,15.0,2
0.2,206.0,265736.0,0.1,15.0,2
0.25,198.0,232144.0,0.1,15.0,2
0.3,198.0,201980.0,0.1,15.0,2
0.35000000000000003,192.0,177680.0,0.1,15.0,2
0.4,187.0,156094.0,0.1,15.0,2
0.45,170.0,136242.0,0.1005,15.0,6
0.5,132.0,117734.0,0.1025,15.0,11
0.55,123.0,100354.0,0.204,15.0,23
0.6000000000000001,109.0,84220.0,0.2855,15.0,41
0.6500000000000001,96.0,69084.0,0.4735,15.0,66
0.7000000000000001,87.0,54828.0,-1.0,15.0,118
0.7500000000000001,80.0,42076.0,-1.0,15.0,179
0.8,63.0,29970.0,-1.0,15.0,272
0.8500000000000001,47.0,19268.0,-1.0,15.0,478
0.9000000000000001,37.0,10346.0,-1.0,15.0,862
0.9500000000000001,25.0,4310.0,-1.0,15.0,1501
1.0,2.0,2036.0,-1.0,15.0,1982
0.0,970.0,802792.0,0.1005,16.0,3
0.05,440.0,452910.0,0.1005,16.0,3
0.1,310.0,356724.0,0.1005,16.0,3
0.15000000000000002,222.0,306138.0,0.1005,16.0,3
0.2,206.0,266850.0,0.1005,16.0,3
0.25,198.0,232244.0,0.1005,16.0,3
0.3,196.0,203396.0,0.1005,16.0,3
0.35000000000000003,188.0,179208.0,0.1005,16.0,3
0.4,184.0,157316.0,0.1005,16.0,3
0.45,164.0,136626.0,0.0995,16.0,5
0.5,127.0,117460.0,0.103,16.0,13
0.55,116.0,100190.0,0.204,16.0,30
0.6000000000000001,107.0,83604.0,0.2055,16.0,44
0.6500000000000001,91.0,68632.0,0.473,16.0,75
0.7000000000000001,85.0,54486.0,-1.0,16.0,118
0.7500000000000001,77.0,41692.0,-1.0,16.0,191
0.8,56.0,29852.0,-1.0,16.0,275
0.8500000000000001,45.0,19128.0,-1.0,16.0,475
0.9000000000000001,37.0,10218.0,-1.0,16.0,867
0.9500000000000001,25.0,4038.0,-1.0,16.0,1501
1.0,5.0,2056.0,-1.0,16.0,1978
0.0,888.0,765882.0,0.1,17.0,2
0.05,441.0,461122.0,0.1,17.0,2
0.1,340.0,362934.0,0.1,17.0,2
0.15000000000000002,232.0,307452.0,0.1,17.0,2
0.2,201.0,262580.0,0.1,17.0,2
0.25,198.0,227980.0,0.1,17.0,2
0.3,194.0,199130.0,0.1,17.0,2
0.35000000000000003,188.0,174908.0,0.1,17.0,2
0.4,143.0,153480.0,0.1,17.0,2
0.45,128.0,134074.0,0.0995,17.0,6
0.5,117.0,115682.0,0.103,17.0,13
0.55,105.0,98592.0,0.103,17.0,25
0.6000000000000001,90.0,82338.0,0.2035,17.0,38
0.6500000000000001,85.0,67688.0,0.4725,17.0,65
0.7000000000000001,81.0,53960.0,-1.0,17.0,117
0.7500000000000001,65.0,41182.0,-1.0,17.0,184
0.8,53.0,29506.0,-1.0,17.0,291
0.8500000000000001,45.0,18566.0,-1.0,17.0,471
0.9000000000000001,34.0,9564.0,-1.0,17.0,872
0.9500000000000001,19.0,3846.0,-1.0,17.0,1510
1.0,3.0,2036.0,-1.0,17.0,1983
0.0,868.0,723136.0,0.0995,18.0,5
0.05,411.0,437102.0,0.0995,18.0,5
0.1,276.0,348142.0,0.0995,18.0,5
0.15000000000000002,216.0,294836.0,0.0995,18.0,5
0.2,198.0,253362.0,0.0995,18.0,5
0.25,198.0,221274.0,0.0995,18.0,5
0.3,196.0,194902.0,0.0995,18.0,5
0.35000000000000003,178.0,172314.0,0.1,18.0,2
0.4,147.0,152004.0,0.0995,18.0,5
0.45,129.0,132794.0,0.0995,18.0,6
0.5,124.0,114746.0,0.1025,18.0,10
0.55,112.0,97154.0,0.2995,18.0,21
0.6000000000000001,95.0,81160.0,0.3,18.0,44
0.6500000000000001,85.0,66694.0,0.3945,18.0,78
0.7000000000000001,74.0,53254.0,-1.0,18.0,125
0.7500000000000001,60.0,40764.0,-1.0,18.0,186
0.8,53.0,29302.0,-1.0,18.0,281
0.8500000000000001,45.0,18970.0,-1.0,18.0,471
0.9000000000000001,38.0,10140.0,-1.0,18.0,865
0.9500000000000001,24.0,4150.0,-1.0,18.0,1514
1.0,2.0,2040.0,-1.0,18.0,1980
0.0,864.0,800724.0,0.1,19.0,2
0.05,450.0,451530.0,0.1,19.0,2
0.1,316.0,359050.0,0.1,19.0,2
0.15000000000000002,222.0,308612.0,0.1,19.0,2
0.2,200.0,264030.0,0.1,19.0,2
0.25,198.0,228240.0,0.1,19.0,2
0.3,198.0,200648.0,0.1,19.0,2
0.35000000000000003,183.0,177260.0,0.1,19.0,2
0.4,166.0,155610.0,0.1,19.0,2
0.45,128.0,135668.0,0.1,19.0,6
0.5,117.0,117206.0,0.103,19.0,12
0.55,107.0,100206.0,0.1045,19.0,21
0.6000000000000001,91.0,84126.0,0.204,19.0,39
0.6500000000000001,86.0,69070.0,0.474,19.0,74
0.7000000000000001,79.0,55062.0,-1.0,19.0,113
0.7500000000000001,70.0,42556.0,-1.0,19.0,181
0.8,58.0,30634.0,-1.0,19.0,274
0.8500000000000001,49.0,19824.0,-1.0,19.0,464
0.9000000000000001,34.0,10508.0,-1.0,19.0,843
0.9500000000000001,17.0,4212.0,-1.0,19.0,1481
1.0,3.0,2046.0,-1.0,19.0,1978
