,threshold,max_assocs,n_assocs,n_assocs_pc,density
0,0.8,17.0,1900.0,0.14383043149129449,0.05996717586163363
1,0.7000000000000001,22.0,2446.0,0.15801033591731267,0.07719984850397676
2,0.7500000000000001,19.0,2096.0,0.14789726220716906,0.06615326347683373
3,0.7500000000000001,20.0,2256.0,0.1740203640851589,0.07120313091781341
4,0.7500000000000001,19.0,2174.0,0.1696581863586702,0.06861507385431133
5,0.7000000000000001,20.0,2464.0,0.17245240761478164,0.07776795859108698
6,0.7500000000000001,19.0,2122.0,0.16141792180130837,0.06697386693599293
7,0.6500000000000001,25.0,2956.0,0.22492771267691372,0.09329630097209948
8,0.7000000000000001,22.0,2632.0,0.17472118959107807,0.08307031940411565
9,0.7500000000000001,19.0,2066.0,0.16783103168155972,0.06520641333165005
10,0.7000000000000001,22.0,2618.0,0.20348204570184983,0.08262845600302993
11,0.7500000000000001,19.0,2138.0,0.15425685425685426,0.06747885368009089
12,0.7000000000000001,19.0,2468.0,0.18810975609756098,0.07789420527711148
13,0.7500000000000001,20.0,2240.0,0.1737242128121607,0.07069814417371544
14,0.6500000000000001,27.0,2922.0,0.2179621065194689,0.0922232041408913
15,0.7500000000000001,19.0,2218.0,0.16854103343465046,0.07000378740058073
16,0.7000000000000001,24.0,2554.0,0.15157270029673592,0.08060850902663805
17,0.7000000000000001,22.0,2600.0,0.20239763350459286,0.08206034591591971
18,0.7000000000000001,23.0,2658.0,0.2054413356005565,0.08389092286327483
19,0.7500000000000001,21.0,2244.0,0.1705685618729097,0.07082439085973993
