threshold,max assoc,n assocs,accuracy,round
0.0,854.0,697202.0,0.10983827493261455,0.0
0.05,504.0,415730.0,0.318733153638814,0.0
0.1,354.0,293546.0,0.318733153638814,0.0
0.15000000000000002,273.0,223346.0,0.318733153638814,0.0
0.2,213.0,174666.0,0.318733153638814,0.0
0.25,164.0,138378.0,0.318733153638814,0.0
0.3,138.0,109758.0,0.318733153638814,0.0
0.35000000000000003,121.0,86882.0,0.318733153638814,0.0
0.4,97.0,68568.0,0.318733153638814,0.0
0.45,83.0,53162.0,0.318733153638814,0.0
0.5,75.0,40996.0,0.3194070080862534,0.0
0.55,64.0,30680.0,0.31266846361185985,0.0
0.6000000000000001,56.0,22388.0,0.318733153638814,0.0
0.6500000000000001,42.0,15852.0,0.3160377358490566,0.0
0.7000000000000001,36.0,10930.0,0.3119946091644205,0.0
0.7500000000000001,32.0,7246.0,0.3119946091644205,0.0
0.8,23.0,4744.0,0.3146900269541779,0.0
0.8500000000000001,18.0,3038.0,0.31266846361185985,0.0
0.9000000000000001,9.0,2080.0,0.3119946091644205,0.0
0.9500000000000001,4.0,1650.0,0.3140161725067385,0.0
1.0,2.0,1550.0,0.3140161725067385,0.0
0.0,882.0,702768.0,0.10983827493261455,1.0
0.05,507.0,412466.0,0.3173854447439353,1.0
0.1,355.0,293192.0,0.3173854447439353,1.0
0.15000000000000002,271.0,223486.0,0.3173854447439353,1.0
0.2,214.0,175330.0,0.3173854447439353,1.0
0.25,164.0,138582.0,0.3173854447439353,1.0
0.3,136.0,109854.0,0.3173854447439353,1.0
0.35000000000000003,109.0,86620.0,0.3173854447439353,1.0
0.4,102.0,68200.0,0.3173854447439353,1.0
0.45,88.0,53172.0,0.3173854447439353,1.0
0.5,79.0,40912.0,0.3173854447439353,1.0
0.55,71.0,30488.0,0.31266846361185985,1.0
0.6000000000000001,61.0,22344.0,0.3133423180592992,1.0
0.6500000000000001,51.0,15970.0,0.3146900269541779,1.0
0.7000000000000001,40.0,11024.0,0.3119946091644205,1.0
0.7500000000000001,32.0,7478.0,0.3133423180592992,1.0
0.8,24.0,4834.0,0.3140161725067385,1.0
